"","LatBand","Year","SampleID","Species","Abundance"
"116",55.5,1987,"55.3667_-6.7667","Ammodytes marinus",1
"117",58.5,1988,"58.2917_-7.38","Ammodytes marinus",43
"118",59,1988,"58.7333_-5.28","Ammodytes marinus",11
"119",59,1989,"58.8167_-6.2833","Ammodytes marinus",4
"120",58.5,1990,"58.3_-7.3833","Ammodytes marinus",3
"121",59,1990,"58.7167_-5.3667","Ammodytes marinus",39
"122",59.5,1991,"59.1667_-5.9833","Ammodytes marinus",2
"123",59.5,1991,"59.1683_-5.9852","Ammodytes marinus",3
"124",59.5,1991,"59.5_-5.4","Ammodytes marinus",1
"125",55.5,1992,"55.2167_-5.2","Ammodytes marinus",2
"126",55.5,1992,"55.45_-7.4833","Ammodytes marinus",1
"127",58,1992,"57.9333_-6.2525","Ammodytes marinus",1
"128",58.5,1992,"58.2333_-7.3167","Ammodytes marinus",136
"129",58.5,1992,"58.2833_-5.9333","Ammodytes marinus",6
"130",58.5,1992,"58.35_-5.95","Ammodytes marinus",4
"131",58.5,1993,"58.2667_-7.35","Ammodytes marinus",7
"132",59,1993,"58.5833_-5.6333","Ammodytes marinus",8
"133",59,1993,"58.6333_-7.25","Ammodytes marinus",2
"134",59,1993,"58.7_-4.4333","Ammodytes marinus",43
"135",56,1994,"55.9833_-6.6","Ammodytes marinus",2
"136",56.5,1994,"56.4982_-7.5213","Ammodytes marinus",1
"137",58.5,1994,"58.2167_-7.3167","Ammodytes marinus",2
"138",55.5,1996,"55.45_-7.4833","Ammodytes marinus",6
"139",59,1996,"58.6167_-5.6","Ammodytes marinus",9
"140",59,1996,"58.7_-4.35","Ammodytes marinus",12
"143",56,1997,"55.9167_-6.7","Ammodytes marinus",4
"144",58,1997,"57.9167_-6.1833","Ammodytes marinus",3
"145",58,1997,"58_-5.7833","Ammodytes marinus",1
"146",58.5,1997,"58.2_-7.3167","Ammodytes marinus",4
"147",58.5,1997,"58.4167_-6.0333","Ammodytes marinus",1
"148",56,1998,"55.8167_-7.65","Ammodytes marinus",2
"149",58.5,1998,"58.2_-7.3167","Ammodytes marinus",2
"151",56,2000,"55.9167_-6.6667","Ammodytes marinus",474
"152",59,2000,"58.7167_-4.3333","Ammodytes marinus",2
"154",56,2001,"55.9108_-6.718","Ammodytes marinus",6
"155",56,2003,"55.945_-6.6453","Ammodytes marinus",2
"157",56,2004,"55.9445_-6.6285","Ammodytes marinus",6
"160",58,2010,"57.9168_-6.2015","Ammodytes marinus",2
"161",59,1985,"58.8_-4.1","Anarhichas lupus",3
"162",58.5,1988,"58.1167_-5.7","Anarhichas lupus",2
"163",59,1988,"58.7333_-5.28","Anarhichas lupus",1
"164",59,1989,"58.6508_-4.3202","Anarhichas lupus",1
"165",59.5,1990,"59.4167_-4.35","Anarhichas lupus",1
"166",58.5,1992,"58.0667_-5.7","Anarhichas lupus",1
"168",57,1985,"56.55_-9.0333","Argentina silus",729
"169",57,1985,"56.6667_-7.3833","Argentina silus",1
"170",57.5,1985,"57.5_-9.35","Argentina silus",6
"171",58,1985,"57.9833_-8.8667","Argentina silus",129
"172",58.5,1985,"58.0167_-8.8333","Argentina silus",4
"173",58.5,1985,"58.0667_-9.0167","Argentina silus",302
"174",58.5,1985,"58.4833_-8.6667","Argentina silus",217
"175",58.5,1985,"58.4833_-8.65","Argentina silus",128
"176",58.5,1986,"58.0167_-9.0667","Argentina silus",3
"177",59,1986,"58.8333_-6.8667","Argentina silus",1
"178",55.5,1987,"55.4333_-9.2","Argentina silus",3
"179",56,1987,"55.7833_-9","Argentina silus",4
"180",56,1987,"55.85_-7.8","Argentina silus",21
"181",56,1987,"55.9167_-8.15","Argentina silus",2
"182",57,1987,"56.6167_-7.3667","Argentina silus",5
"183",57,1987,"56.7965_-9.0373","Argentina silus",29
"184",57.5,1987,"57.2833_-8.4833","Argentina silus",6
"185",58,1987,"57.5333_-9.0833","Argentina silus",27
"186",58,1987,"57.6667_-8.5167","Argentina silus",10
"187",58,1987,"58_-8.8833","Argentina silus",630
"188",58.5,1987,"58.0667_-9","Argentina silus",57
"189",58.5,1987,"58.3167_-7.3333","Argentina silus",2
"190",58.5,1987,"58.4833_-8.15","Argentina silus",24
"191",59,1987,"58.6167_-7.3333","Argentina silus",1
"192",59.5,1987,"59.2_-6.2833","Argentina silus",14
"193",59.5,1987,"59.3333_-5.1667","Argentina silus",11
"194",56,1988,"55.9_-8.1333","Argentina silus",46
"195",56.5,1988,"56.4333_-7.4417","Argentina silus",4
"196",58,1988,"57.6_-8.5167","Argentina silus",2
"197",58.5,1988,"58.25_-6.0167","Argentina silus",1
"198",59,1988,"58.8167_-6.2667","Argentina silus",3
"199",59.5,1988,"59.3667_-4.0667","Argentina silus",1
"200",56,1989,"55.8833_-8.15","Argentina silus",7
"201",58.5,1989,"58.3823_-5.7672","Argentina silus",1
"202",56.5,1990,"56.3167_-8.2667","Argentina silus",1
"203",58,1990,"57.6667_-8.85","Argentina silus",14
"204",58,1990,"58_-5.8","Argentina silus",1
"205",58.5,1990,"58.1_-8.95","Argentina silus",2
"206",58.5,1990,"58.4_-5.55","Argentina silus",1
"207",58.5,1990,"58.4333_-6.0167","Argentina silus",2
"208",59,1990,"58.8167_-6.2833","Argentina silus",8
"209",59.5,1990,"59.2_-6.2667","Argentina silus",1
"210",59.5,1990,"59.4167_-4.35","Argentina silus",2
"211",58.5,1991,"58.4_-5.6833","Argentina silus",1
"212",59,1991,"58.5433_-5.8833","Argentina silus",1
"213",59,1991,"58.8333_-6.272","Argentina silus",1
"214",57,1992,"56.5167_-7.5167","Argentina silus",2
"215",57,1992,"56.5667_-8.2167","Argentina silus",1
"216",58,1992,"58_-9.0833","Argentina silus",1
"217",58.5,1992,"58.2667_-8.5","Argentina silus",9
"218",59,1992,"58.5167_-8.1333","Argentina silus",24
"219",57,1993,"56.75_-9.1167","Argentina silus",110
"220",58.5,1993,"58.0167_-9.05","Argentina silus",244
"221",58.5,1993,"58.2667_-8.5167","Argentina silus",2
"222",58.5,1993,"58.5_-8.1","Argentina silus",20
"223",59,1993,"58.6333_-7.25","Argentina silus",2
"224",56.5,1994,"56.2333_-8.35","Argentina silus",1
"225",58,1994,"58_-8.8667","Argentina silus",2
"226",59.5,1994,"59.3333_-6.3667","Argentina silus",1
"227",56.5,1996,"56.3667_-8.5167","Argentina silus",2
"228",57,1996,"56.75_-9.0167","Argentina silus",2
"229",58.5,1996,"58.0333_-8.8666","Argentina silus",5
"230",58.5,1996,"58.0667_-9.0167","Argentina silus",680
"231",59,1996,"58.8333_-6.7833","Argentina silus",1
"232",59,1996,"59_-6.8833","Argentina silus",13
"233",56.5,1997,"56.15_-9.1","Argentina silus",26
"234",58,1999,"58_-8.8667","Argentina silus",52
"235",58.5,1999,"58.05_-9.0167","Argentina silus",74
"236",56,2000,"55.8167_-8.2667","Argentina silus",4
"237",58.5,2000,"58.0333_-9.0167","Argentina silus",110
"238",56.5,2001,"56.3492_-8.4942","Argentina silus",28
"239",56.5,2001,"56.4465_-7.4522","Argentina silus",2
"240",58,2001,"57.601_-8.502","Argentina silus",2
"241",58.5,2001,"58.0675_-9.0213","Argentina silus",36
"242",56.5,2002,"56.1727_-9.1008","Argentina silus",24
"243",56.5,2002,"56.3298_-8.4547","Argentina silus",4
"244",58.5,2002,"58.0243_-9.0495","Argentina silus",42
"245",59.5,2002,"59.256_-6.4513","Argentina silus",2
"246",55.5,2003,"55.1802_-10.0507","Argentina silus",2
"247",56.5,2003,"56.203_-9.1093","Argentina silus",260
"248",59.5,2003,"59.2357_-4.0507","Argentina silus",2
"249",55.5,2004,"55.1613_-10.0605","Argentina silus",12
"250",57,2005,"56.7735_-9.011","Argentina silus",2
"251",58.5,2005,"58.0343_-9.0412","Argentina silus",4
"252",58.5,2005,"58.0513_-9.0305","Argentina silus",16
"253",55.5,2006,"55.177_-10.0537","Argentina silus",56
"254",58.5,2006,"58.2935_-9.1328","Argentina silus",114
"255",55.5,2007,"55.1788_-10.0548","Argentina silus",2
"256",58.5,2007,"58.2993_-9.1148","Argentina silus",88
"257",56.5,2008,"56.3417_-8.4955","Argentina silus",2
"258",58.5,2008,"58.2812_-9.1635","Argentina silus",38
"259",55.5,2009,"55.1743_-10.0538","Argentina silus",16
"260",58.5,2009,"58.0645_-9.0247","Argentina silus",2
"261",55.5,2010,"55.1765_-10.0518","Argentina silus",6
"262",58.5,2010,"58.2943_-9.1318","Argentina silus",2
"263",55.5,1985,"55.2833_-5.2167","Argentina sphyraena",6
"264",55.5,1985,"55.45_-4.8167","Argentina sphyraena",29
"265",56,1985,"55.8167_-7.9167","Argentina sphyraena",400
"266",56,1985,"55.8667_-8.15","Argentina sphyraena",4
"267",56.5,1985,"56.1833_-8.3667","Argentina sphyraena",37
"268",56.5,1985,"56.2333_-8.3833","Argentina sphyraena",2
"269",56.5,1985,"56.4333_-7.5833","Argentina sphyraena",7
"270",56.5,1985,"56.4333_-6.7167","Argentina sphyraena",2
"271",57,1985,"56.55_-9.0333","Argentina sphyraena",33
"272",57,1985,"56.6667_-7.3833","Argentina sphyraena",10
"273",57,1985,"56.8167_-9.0333","Argentina sphyraena",6
"274",57,1985,"56.9167_-7.0167","Argentina sphyraena",4
"275",57,1985,"56.9167_-6.9833","Argentina sphyraena",29
"276",57,1985,"56.9833_-9.0667","Argentina sphyraena",3
"277",57,1985,"56.9833_-9.05","Argentina sphyraena",3
"278",57.5,1985,"57.15_-6.95","Argentina sphyraena",2
"279",57.5,1985,"57.2833_-8.5","Argentina sphyraena",4
"280",57.5,1985,"57.3_-8.4833","Argentina sphyraena",10
"281",57.5,1985,"57.5_-9.35","Argentina sphyraena",132
"282",58,1985,"57.5167_-9.35","Argentina sphyraena",4104
"283",58,1985,"57.5333_-9.0833","Argentina sphyraena",26
"284",58,1985,"57.6_-9.0667","Argentina sphyraena",7
"285",58,1985,"57.65_-8.5167","Argentina sphyraena",2
"286",58,1985,"57.7333_-6.0167","Argentina sphyraena",1
"287",58,1985,"57.9833_-8.8667","Argentina sphyraena",768
"288",58.5,1985,"58.0167_-8.8333","Argentina sphyraena",13
"289",58.5,1985,"58.0667_-9.0167","Argentina sphyraena",1206
"290",58.5,1985,"58.1333_-5.7833","Argentina sphyraena",8
"291",58.5,1985,"58.3_-7.3667","Argentina sphyraena",1
"292",58.5,1985,"58.45_-5.8667","Argentina sphyraena",1
"293",58.5,1985,"58.4833_-8.6667","Argentina sphyraena",115
"294",58.5,1985,"58.4833_-8.65","Argentina sphyraena",38
"295",59,1985,"58.7_-7.1833","Argentina sphyraena",27
"296",59,1985,"58.8_-5.0833","Argentina sphyraena",7
"297",59,1985,"58.8_-4.1","Argentina sphyraena",3
"298",59.5,1985,"59.2667_-4.2833","Argentina sphyraena",3
"299",59.5,1985,"59.3333_-5.3167","Argentina sphyraena",195
"300",55.5,1986,"55.2667_-5.25","Argentina sphyraena",3
"301",55.5,1986,"55.4333_-9.2","Argentina sphyraena",4
"302",55.5,1986,"55.45_-4.85","Argentina sphyraena",42
"303",56,1986,"55.8333_-9","Argentina sphyraena",32
"304",56,1986,"55.85_-7.8167","Argentina sphyraena",35
"305",56,1986,"55.9_-8.15","Argentina sphyraena",14
"306",56.5,1986,"56.2167_-8.3833","Argentina sphyraena",4
"307",57,1986,"56.6_-7.3667","Argentina sphyraena",5
"308",57,1986,"56.7833_-9.0167","Argentina sphyraena",9
"309",57.5,1986,"57.2833_-8.4833","Argentina sphyraena",1
"310",57.5,1986,"57.5_-9.0833","Argentina sphyraena",57
"311",58,1986,"57.65_-8.5167","Argentina sphyraena",7
"312",58,1986,"57.7833_-6","Argentina sphyraena",1
"313",58,1986,"57.9167_-6.1833","Argentina sphyraena",2
"314",58.5,1986,"58.0167_-9.0667","Argentina sphyraena",904
"315",58.5,1986,"58.0667_-5.7667","Argentina sphyraena",1
"316",58.5,1986,"58.25_-5.9833","Argentina sphyraena",1
"317",58.5,1986,"58.3333_-7.35","Argentina sphyraena",5
"318",58.5,1986,"58.3833_-5.8","Argentina sphyraena",12
"319",59,1986,"58.6_-5.9333","Argentina sphyraena",6
"320",59,1986,"58.7_-4.1333","Argentina sphyraena",2
"321",59,1986,"58.8333_-6.8667","Argentina sphyraena",86
"322",59.5,1986,"59.1833_-4.0833","Argentina sphyraena",1
"323",59.5,1986,"59.35_-5.25","Argentina sphyraena",74
"324",55.5,1987,"55.3_-5.1833","Argentina sphyraena",3
"325",55.5,1987,"55.4667_-4.8","Argentina sphyraena",1
"326",56.5,1987,"56.2167_-8.3833","Argentina sphyraena",18
"327",58.5,1987,"58.45_-5.7333","Argentina sphyraena",1
"328",59.5,1987,"59.35_-5.2","Argentina sphyraena",89
"329",60,1987,"59.7_-4.3","Argentina sphyraena",50
"330",55.5,1988,"55.25_-8.8","Argentina sphyraena",10
"331",55.5,1988,"55.2667_-5.1833","Argentina sphyraena",2
"332",55.5,1988,"55.4333_-9.15","Argentina sphyraena",66
"333",55.5,1988,"55.4667_-4.8","Argentina sphyraena",10
"334",56,1988,"55.8167_-7.6833","Argentina sphyraena",209
"335",56,1988,"55.85_-9.0167","Argentina sphyraena",9
"336",56,1988,"55.9_-8.1333","Argentina sphyraena",14
"337",56.5,1988,"56.25_-8.4333","Argentina sphyraena",40
"338",56.5,1988,"56.4333_-7.4417","Argentina sphyraena",14
"339",57,1988,"56.6833_-7.3667","Argentina sphyraena",7
"340",57.5,1988,"57.2167_-8.4667","Argentina sphyraena",10
"341",58,1988,"57.6_-8.5167","Argentina sphyraena",88
"342",58,1988,"57.6667_-9.1","Argentina sphyraena",144
"343",58.5,1988,"58.0167_-9.05","Argentina sphyraena",82
"344",58.5,1988,"58.0833_-5.7","Argentina sphyraena",1
"345",58.5,1988,"58.1167_-5.7","Argentina sphyraena",7
"346",58.5,1988,"58.2833_-8.4833","Argentina sphyraena",91
"347",58.5,1988,"58.4166_-5.8","Argentina sphyraena",2
"348",58.5,1988,"58.4667_-8.1667","Argentina sphyraena",60
"349",59,1988,"58.8167_-6.2667","Argentina sphyraena",24
"350",59.5,1988,"59.2018_-6.2622","Argentina sphyraena",53
"351",59.5,1988,"59.3333_-5.1833","Argentina sphyraena",103
"352",59.5,1988,"59.3667_-4.0667","Argentina sphyraena",42
"353",59.5,1988,"59.4333_-4.0667","Argentina sphyraena",31
"354",60,1988,"59.7_-4.0667","Argentina sphyraena",78
"355",60,1988,"59.7_-4.05","Argentina sphyraena",12
"356",55.5,1989,"55.2667_-5.2333","Argentina sphyraena",22
"357",55.5,1989,"55.45_-9.2","Argentina sphyraena",3
"358",55.5,1989,"55.45_-4.8","Argentina sphyraena",2
"359",55.5,1989,"55.5_-4.85","Argentina sphyraena",1
"360",56,1989,"55.7833_-9.1","Argentina sphyraena",306
"361",56,1989,"55.85_-7.8","Argentina sphyraena",22
"362",56,1989,"55.8833_-8.15","Argentina sphyraena",175
"363",56.5,1989,"56.0333_-9.0667","Argentina sphyraena",5
"364",56.5,1989,"56.221_-8.2932","Argentina sphyraena",10
"365",56.5,1989,"56.4333_-6.6833","Argentina sphyraena",1
"366",57,1989,"56.6167_-7.35","Argentina sphyraena",13
"367",57,1989,"56.75_-8.5333","Argentina sphyraena",6
"368",57,1989,"56.9833_-6.9833","Argentina sphyraena",4
"369",57.5,1989,"57.15_-6.9833","Argentina sphyraena",1
"370",57.5,1989,"57.45_-9.0833","Argentina sphyraena",12
"371",58,1989,"57.65_-8.5","Argentina sphyraena",6
"372",58,1989,"57.9255_-6.1935","Argentina sphyraena",2
"373",58.5,1989,"58.0278_-9.07","Argentina sphyraena",13
"374",58.5,1989,"58.3222_-8.4742","Argentina sphyraena",34
"375",58.5,1989,"58.35_-5.9833","Argentina sphyraena",1
"376",59,1989,"58.8167_-6.2833","Argentina sphyraena",2
"377",59.5,1989,"59.1833_-6.2833","Argentina sphyraena",96
"378",59.5,1989,"59.3167_-5.3167","Argentina sphyraena",7
"379",59.5,1989,"59.3833_-4.0667","Argentina sphyraena",29
"380",59.5,1989,"59.5_-5.3833","Argentina sphyraena",3
"381",55.5,1990,"55.2_-5.2333","Argentina sphyraena",20
"382",55.5,1990,"55.4667_-4.7833","Argentina sphyraena",38
"383",56,1990,"55.9167_-8.1333","Argentina sphyraena",1
"384",56.5,1990,"56.0833_-8.9833","Argentina sphyraena",1
"385",56.5,1990,"56.3167_-8.2667","Argentina sphyraena",3
"386",56.5,1990,"56.4167_-7.4167","Argentina sphyraena",9
"387",57,1990,"56.6833_-7.3167","Argentina sphyraena",30
"388",57,1990,"56.7833_-8.5167","Argentina sphyraena",12
"389",58,1990,"57.6667_-8.85","Argentina sphyraena",56
"390",58,1990,"57.8167_-5.9667","Argentina sphyraena",1
"391",58,1990,"58_-5.8","Argentina sphyraena",1
"392",58.5,1990,"58.0167_-5.7667","Argentina sphyraena",1
"393",58.5,1990,"58.1_-8.95","Argentina sphyraena",231
"394",59,1990,"58.8167_-6.2833","Argentina sphyraena",3
"395",59.5,1990,"59.2_-6.2667","Argentina sphyraena",15
"396",59.5,1990,"59.3333_-5.2833","Argentina sphyraena",9
"397",59.5,1990,"59.4167_-4.35","Argentina sphyraena",17
"398",59.5,1990,"59.5_-5.4","Argentina sphyraena",17
"399",60,1990,"59.75_-4.0667","Argentina sphyraena",18
"400",55.5,1991,"55.3_-5.1833","Argentina sphyraena",3
"401",55.5,1991,"55.45_-9.2","Argentina sphyraena",2
"402",55.5,1991,"55.4667_-4.7833","Argentina sphyraena",1
"403",56,1991,"55.8_-9","Argentina sphyraena",49
"404",56,1991,"55.85_-7.7833","Argentina sphyraena",15
"405",56.5,1991,"56.45_-7.4667","Argentina sphyraena",4
"406",57,1991,"56.6167_-7.3667","Argentina sphyraena",1
"407",57.5,1991,"57.3167_-8.5","Argentina sphyraena",3
"408",58,1991,"57.5833_-9.05","Argentina sphyraena",10
"409",58,1991,"57.6667_-8.5167","Argentina sphyraena",6
"410",58,1991,"57.7167_-5.9833","Argentina sphyraena",1
"411",58,1991,"58_-8.8833","Argentina sphyraena",19
"412",58.5,1991,"58.0667_-9","Argentina sphyraena",76
"413",58.5,1991,"58.4_-5.6833","Argentina sphyraena",4
"414",59,1991,"58.5277_-8.0002","Argentina sphyraena",17
"415",59,1991,"58.5433_-5.8833","Argentina sphyraena",2
"416",59,1991,"58.8333_-6.272","Argentina sphyraena",18
"417",59.5,1991,"59.1667_-5.9833","Argentina sphyraena",2
"418",59.5,1991,"59.2_-6.25","Argentina sphyraena",173
"419",59.5,1991,"59.5_-5.4","Argentina sphyraena",1
"420",60,1991,"59.7888_-4.512","Argentina sphyraena",8
"421",55.5,1992,"55.2167_-5.2","Argentina sphyraena",23
"422",55.5,1992,"55.4333_-4.8833","Argentina sphyraena",19
"423",55.5,1992,"55.4833_-9.2833","Argentina sphyraena",4
"424",56,1992,"55.8167_-7.8","Argentina sphyraena",26
"425",56,1992,"55.8333_-8.3667","Argentina sphyraena",306
"426",56.5,1992,"56.2167_-9.15","Argentina sphyraena",14
"427",56.5,1992,"56.25_-8.3833","Argentina sphyraena",24
"428",56.5,1992,"56.45_-6.7","Argentina sphyraena",17
"429",57,1992,"56.5167_-7.5167","Argentina sphyraena",16
"430",57,1992,"56.75_-9.0167","Argentina sphyraena",8
"431",57,1992,"56.95_-7.0667","Argentina sphyraena",1
"432",57.5,1992,"57.25_-8.4667","Argentina sphyraena",11
"433",58,1992,"57.5833_-8.5167","Argentina sphyraena",4
"434",58,1992,"57.65_-9.1","Argentina sphyraena",445
"435",58,1992,"57.9333_-6.2525","Argentina sphyraena",1
"436",58,1992,"58_-9.0833","Argentina sphyraena",640
"437",58.5,1992,"58.2667_-8.5","Argentina sphyraena",205
"438",58.5,1992,"58.3833_-5.7167","Argentina sphyraena",12
"439",59,1992,"58.5167_-8.1333","Argentina sphyraena",97
"440",59.5,1992,"59.35_-5.1833","Argentina sphyraena",9
"441",55.5,1993,"55.2833_-5.1667","Argentina sphyraena",3
"442",55.5,1993,"55.45_-9.2167","Argentina sphyraena",1
"443",55.5,1993,"55.45_-4.8","Argentina sphyraena",3
"444",56,1993,"55.7667_-9.0167","Argentina sphyraena",20
"445",56,1993,"55.8167_-8.2333","Argentina sphyraena",210
"446",56.5,1993,"56.0333_-9.9043","Argentina sphyraena",31
"447",56.5,1993,"56.25_-8.3833","Argentina sphyraena",22
"448",56.5,1993,"56.45_-7.45","Argentina sphyraena",52
"449",57,1993,"56.6_-8.4","Argentina sphyraena",2
"450",57,1993,"56.6167_-7.35","Argentina sphyraena",46
"451",57,1993,"56.75_-9.1167","Argentina sphyraena",4
"452",57,1993,"56.8_-6.8333","Argentina sphyraena",15
"453",58,1993,"57.5667_-8.5167","Argentina sphyraena",40
"454",58,1993,"57.6833_-9.0833","Argentina sphyraena",892
"455",58,1993,"57.9667_-6.2167","Argentina sphyraena",1
"456",58.5,1993,"58.0167_-9.05","Argentina sphyraena",1046
"457",58.5,1993,"58.2667_-8.5167","Argentina sphyraena",196
"458",58.5,1993,"58.2833_-6","Argentina sphyraena",1
"459",58.5,1993,"58.3667_-5.9667","Argentina sphyraena",3
"460",58.5,1993,"58.3833_-5.9833","Argentina sphyraena",4
"461",58.5,1993,"58.3833_-5.7","Argentina sphyraena",1
"462",58.5,1993,"58.4167_-6.0167","Argentina sphyraena",7
"463",58.5,1993,"58.5_-8.1","Argentina sphyraena",48
"464",59,1993,"58.6333_-7.25","Argentina sphyraena",2
"465",59,1993,"58.7667_-6.15","Argentina sphyraena",20
"466",55.5,1994,"55.2833_-5.1667","Argentina sphyraena",4
"467",55.5,1994,"55.45_-9.2","Argentina sphyraena",4
"468",55.5,1994,"55.45_-4.7833","Argentina sphyraena",18
"469",56,1994,"55.7833_-9","Argentina sphyraena",21
"470",56,1994,"55.8333_-8.3667","Argentina sphyraena",24
"471",56,1994,"55.8333_-7.7667","Argentina sphyraena",54
"472",56.5,1994,"56.0167_-9.05","Argentina sphyraena",13
"473",56.5,1994,"56.2333_-8.35","Argentina sphyraena",10
"474",56.5,1994,"56.4982_-7.5213","Argentina sphyraena",11
"475",57,1994,"56.6_-7.3667","Argentina sphyraena",8
"476",58,1994,"57.5833_-8.5167","Argentina sphyraena",2
"477",58,1994,"57.6272_-9.1147","Argentina sphyraena",190
"478",58,1994,"58_-9.0667","Argentina sphyraena",80
"479",58,1994,"58_-8.8667","Argentina sphyraena",426
"480",58.5,1994,"58.2167_-7.3167","Argentina sphyraena",1
"481",58.5,1994,"58.2667_-6","Argentina sphyraena",1
"482",58.5,1994,"58.3333_-5.9667","Argentina sphyraena",5
"483",58.5,1994,"58.3667_-5.7667","Argentina sphyraena",9
"484",59,1994,"58.6167_-5.6","Argentina sphyraena",3
"485",59,1994,"58.8167_-6.2833","Argentina sphyraena",6
"486",59.5,1994,"59.3333_-6.3667","Argentina sphyraena",105
"487",59.5,1994,"59.35_-5.1833","Argentina sphyraena",43
"488",55.5,1995,"55.2333_-5.1833","Argentina sphyraena",8
"489",55.5,1995,"55.45_-9.2167","Argentina sphyraena",2
"490",56,1995,"55.8333_-8.3667","Argentina sphyraena",62
"491",56,1995,"55.85_-7.7833","Argentina sphyraena",5
"492",56.5,1995,"56.0167_-9.05","Argentina sphyraena",81
